type,posts
INFJ,"['INFJ', 'INFJ', 'INFJ', 'ENFP', 'INFJ', 'INTP', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFJ', 'ISTP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INFP', 'INTP', 'ENTP', 'INTJ', 'INTP', 'INFJ', 'INTP', 'INFJ', 'INTJ', 'INTJ', 'ISTP', 'INFJ', 'INFP', 'ENTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'INTJ', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'INFP']"
INFP,"['ISTP', 'INTP', 'INTP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ISTP', 'INTP', 'INTJ', 'INFP', 'INTP', 'INTP', 'ISTP', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'INTJ', 'INFJ', 'INTJ', 'INTP', 'INTJ', 'INTP', 'ENTP', 'INTP', 'ENTP', 'INFJ', 'INTP', 'ISTP', 'INTJ', 'ISTP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'ENTJ', 'INTJ']"
INTP,"['ISFJ', 'ISTP', 'INTJ', 'INTP', 'ENFP', 'ENTP', 'INTP', 'ENTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'INTP', 'INFP', 'INTP', 'INTP', 'INTP', 'INTP', 'ENTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INFP', 'INTP', 'INTJ', 'INTP', 'INTJ', 'INFP', 'INTJ', 'INFP', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INTP', 'ENTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ']"
INFJ,"['INFJ', 'INFP', 'INFP', 'INFP', 'INTJ', 'INTP', 'INTP', 'ISTP', 'ENFP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'ISFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INTJ', 'INFJ', 'INTP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP']"
ENTJ,"['INTP', 'ENFJ', 'ENFP', 'ISTJ', 'INTP', 'ISTJ', 'ENTP', 'INTP', 'ENTP', 'ISTP', 'ENFP', 'ENFP', 'INTP', 'INFP', 'ISTP', 'INFJ', 'INTP', 'INTJ', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'ISTP', 'INTP', 'ISTJ', 'INTP', 'ENFP', 'ENFP', 'ENTP', 'INTP', 'INFJ', 'INTP', 'ENFP', 'ENFP', 'INFJ', 'INTJ', 'INTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'INFP']"
INFP,"['ISFP', 'ENFP', 'ENFP', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'INTJ', 'ENFP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INFJ', 'INTP', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INTP', 'ENTJ', 'ENFP', 'INFJ', 'INTP', 'INTP', 'ISTP']"
ENTJ,"['INTJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ISTP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'INTJ', 'INFP', 'INTJ', 'ISTJ', 'INTJ', 'ENTP', 'INFP', 'INFJ', 'ENFP', 'ISTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INTJ', 'INTP', 'ENFP', 'INTP', 'INTJ', 'ISTJ', 'ENFP', 'ENTP', 'INTP', 'ENFP', 'ISFP', 'INTP', 'ENFP', 'INTP', 'INFJ', 'INTP', 'INFJ']"
INFP,"['ISFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFJ', 'ENFP', 'INFP', 'ENFP', 'INTJ', 'INFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ISTP', 'ENTP', 'ISTP', 'INFJ', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'ENTP', 'ENFP', 'INFP', 'INFJ', 'INTJ', 'ENFP', 'INTP', 'INFP', 'ENFJ', 'INFP', 'ENTP', 'ENTP', 'INFJ', 'ISTP', 'ENFP', 'INTP']"
ENFP,"['INTP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'INTP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ISFJ', 'INFJ', 'INFP', 'INFP', 'INFJ', 'ISTP', 'ISFJ', 'ENFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'ISTP', 'ISTP', 'INTJ', 'INFP', 'INFJ', 'ISTP', 'INTJ', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'INFJ', 'INFP', 'INFJ', 'INFP', 'ISTP', 'INFJ', 'ISFJ', 'INFJ', 'ENFP', 'ISTP', 'ENFP', 'INTP', 'INFJ', 'INFJ', 'ENFP']"
ISFP,"['INTP', 'ISTP', 'ENFP', 'ISTP', 'INFP', 'INFP', 'INFP', 'ISTP', 'ENFP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'ENFP', 'ISTP', 'ISTP', 'ENTP', 'INTP', 'ISTP', 'ISTP', 'ISTP', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'ISFJ', 'INTP', 'ENTP', 'ISFJ', 'INFP', 'ISTP', 'ENFJ', 'ISTP', 'INTP', 'INTP', 'ISTP', 'ENTP', 'ISTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'ENTP', 'ENTP', 'INFJ']"
INFP,"['INFP', 'INFP', 'ENTP', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'INTJ', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'ISTP', 'ENTP', 'ENFP', 'INTP', 'INTP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INFP', 'INTP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INTP', 'ISTJ', 'INFP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'ENTP', 'ISFP', 'INFP', 'INFP']"
INFJ,"['INFJ', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INTP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'INFP', 'INFJ', 'INTJ', 'INFP', 'INFJ', 'INFJ', 'INTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'ENFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INFJ', 'INTJ']"
INFP,"['INFJ', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INTP', 'INTP', 'ENTP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'ISTP', 'INFJ', 'ENFP', 'ISFP', 'INFP', 'INFJ', 'ISFJ', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'ENTP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENTJ']"
INFJ,"['INFJ', 'INFP', 'INTJ', 'INFJ', 'ENFP', 'INFP', 'INFP', 'ISFJ', 'INFJ', 'INTJ', 'INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INTP', 'INTP', 'INFP', 'ENFP', 'ISFJ', 'ENFP', 'INTP', 'INTP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'ENFP', 'INFP', 'ENFJ', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP']"
INTP,"['ISTJ', 'INTJ', 'INTJ', 'INTJ', 'ENFP', 'ISTP', 'INTP', 'ENTP', 'ISTP', 'ENFP', 'INTJ', 'INFP', 'INTJ', 'ISTP', 'INTJ', 'ENFP', 'ENTJ', 'INFJ', 'INTP', 'INTJ', 'ENFP', 'INTP', 'ISTP', 'ENFP', 'ISFJ', 'ENFP', 'INTP', 'INTP', 'INFJ', 'INTJ', 'INFJ', 'ENFP', 'INFP', 'ISTJ', 'INTP', 'INFJ', 'INFP', 'INTJ', 'INTP', 'INTP', 'INTJ', 'ISTP', 'INTP', 'INTJ', 'INFJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'ENTJ']"
INFJ,"['INFJ', 'INTP', 'INFP', 'INTJ', 'INFJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'INTJ', 'ENFP', 'INFP', 'INTP', 'ENFP', 'ISFP', 'ISFP', 'INFJ', 'INFP', 'ENFP', 'INTP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INTJ', 'INFP', 'INFJ', 'INFP', 'INTP', 'INTJ', 'ISTP', 'INTP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'ENFP', 'INFP', 'INFP']"
ENFJ,"['INFP', 'INFP', 'INTP', 'INTJ', 'ENFP', 'ENFP', 'INTP', 'ENTP', 'ENTP', 'ISFP', 'ENTP', 'INTP', 'ENFP', 'ENFP', 'ENTP', 'INTJ', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ISTP', 'INTP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ISTP', 'ENFP', 'ISTP', 'ENFP', 'INTJ', 'ISTP']"
INFJ,"['INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'INFJ', 'ENFP', 'ISTP', 'INTP', 'ENTP', 'INTJ', 'INFP', 'INTJ', 'INFJ', 'INTP', 'ENFP', 'INFJ', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INTJ', 'ISTP', 'ENFJ', 'INFJ', 'ENFP', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INTP', 'INFJ']"
INTJ,"['ENTP', 'INTJ', 'ISFP', 'INFP', 'INTJ', 'INFP', 'ENFP', 'INTP', 'ISFJ', 'INTJ', 'INTJ', 'INFP', 'INFP', 'INFJ', 'INTP', 'ENFP', 'INTJ', 'ENTP', 'INFP', 'INFP', 'INFP', 'INFJ', 'ENFP', 'INTJ', 'INFP', 'INFJ', 'ENFP', 'ENTJ', 'INFP', 'ISTP', 'INFP', 'ISTP', 'INFP', 'INTP', 'ENFP', 'INTP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ISTP', 'INTP', 'INTP', 'INTJ']"
INFP,"['ENFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'ENTP', 'ENFP', 'ENFP', 'ISTP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ISFP', 'INTP', 'INTP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFP']"
ENFP,"['INTP', 'INFP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INTP', 'INTP', 'INFJ', 'INFJ', 'ENTP', 'ISTP', 'ENTP', 'INFJ', 'INFJ', 'ENTP', 'INFJ', 'ISTP', 'INFP', 'INFP', 'INFP', 'INTP', 'ENFP', 'INTP', 'INTP', 'INFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INFP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTJ', 'INFP', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'INTJ']"
ENTJ,"['INTJ', 'INTP', 'ISFP', 'ISTJ', 'ISTP', 'INTP', 'INFP', 'INTJ', 'INTP', 'ENTP', 'INFP', 'INTJ', 'INFP', 'ISTP', 'INTJ', 'ENFP', 'ISTP', 'ENFP', 'ISFJ', 'INTP', 'INTJ', 'ISFJ', 'INFP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'INTP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'ENFJ', 'INFP', 'INFP', 'INTP', 'ISTJ', 'INFP', 'INTP', 'ENFP', 'ENFP', 'ENTP', 'INFP', 'ISFJ', 'INTP']"
ISTP,"['INTP', 'ISTP', 'INTP', 'INTP', 'INFJ', 'ISTP', 'INTP', 'INFP', 'INTP', 'ISTP', 'INFJ', 'ENTJ', 'ISTJ', 'INTP', 'INTJ', 'ENFP', 'ISTP', 'ENFP', 'INFJ', 'ENFP', 'INTP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INTP', 'ISFP', 'ENFP', 'ENFP', 'INTP', 'ISTP', 'ENFP', 'INFP', 'ENTP', 'ENFP', 'ISTP', 'ENFP', 'INTP', 'INTP', 'INTJ', 'INFP', 'INFP', 'INFJ']"
INFJ,"['INTP', 'ENFP', 'INFJ', 'INFP', 'ISFJ', 'ENFP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'ENTP', 'ISFP', 'ENFP', 'INTP', 'INFP', 'INFJ', 'ISTP', 'INTP', 'ENFP', 'ISFJ', 'INFJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'ISTJ', 'INFJ', 'INTP', 'INFP', 'INFP']"
INTP,"['INFP', 'ENFP', 'ISTP', 'INFJ', 'ISTP', 'INTJ', 'ENFP', 'INFP', 'INFJ', 'INTP', 'ENFP', 'INFP', 'ISTP', 'ENFP', 'ENFJ', 'INTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'INFP', 'INFP', 'INTP', 'INFP', 'INTP', 'INTJ', 'INTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'ENFP', 'INTJ', 'INFJ', 'ENFP']"
INFP,"['INFP', 'INFP', 'ENFP', 'INTP', 'INFP', 'INFP', 'INTJ', 'INTP', 'INTJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INTJ', 'ISFP', 'ENFP', 'ENFP', 'ENFP', 'ENTP', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'ENFP', 'ISTJ', 'INFP', 'INFJ', 'INTP', 'INFP', 'ISFJ', 'INFP', 'INTP', 'INFP', 'INTP', 'INFP', 'ENTP', 'INFP', 'ENFP', 'ISFJ', 'INTJ', 'INFP', 'INFJ', 'INFP', 'ISTJ', 'INTP', 'ENFP', 'INFP']"
INTJ,"['INFP', 'ENTP', 'INFP', 'INTP', 'ISTP', 'ENFP', 'ISTP', 'ENFP', 'ENTP', 'INFP', 'ENFP', 'ENTP', 'INTJ', 'ENFP', 'INFJ', 'ENTP', 'INFP', 'INFJ', 'ENFP', 'ENFP', 'INTP', 'INTP', 'INFP', 'ISFJ', 'ENFP', 'INFJ', 'INFJ', 'ENFP', 'ENFP', 'INTJ', 'ISTJ', 'ENFP', 'ENFP', 'ISTP', 'INTP', 'ENFP', 'ISTP', 'ENTP', 'ENTP', 'INFJ']"
INTP,"['INFP', 'ISTP', 'INFP', 'INFP', 'INTP', 'INTP', 'ENTP', 'INTP', 'INTP', 'INFP', 'INFP', 'INTJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'INTP', 'ISTJ', 'INFP', 'INFP', 'INTP', 'INFJ', 'ENTP', 'INTJ', 'ENFP', 'INFP', 'INFP', 'ISTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'INTP', 'INFP', 'INFP', 'INTP', 'INTP', 'INFP', 'INTJ', 'INFP', 'INTP', 'INTJ', 'INFP', 'ENTP', 'INFP']"
